Designator,Mid X,Mid Y,Rotation,Layer
C1,38.552,23.058,-90.0,top
C2,23.058,23.058,-90.0,top
J1,69.281,44.125,0.0,top
J2,53.787,44.125,0.0,top
J3,12.131,44.125,0.0,top
J4,79.954,41.6,90.0,top
J5,60.904,13.914,0.0,top
J6,38.044,13.914,0.0,top
J7,14.93,13.837,0.0,top
R1,5.786,23.566,0.0,top
R10,17.978,53.03,90.0,top
R11,24.074,53.03,90.0,top
R12,30.17,53.03,90.0,top
R13,34.488,34.996,-90.0,top
R14,33.98,27.884,90.0,top
R15,18.994,34.996,-90.0,top
R2,78.938,10.612,0.0,top
R3,5.786,16.962,0.0,top
R4,78.938,16.962,0.0,top
R5,5.786,10.612,0.0,top
R6,78.912,23.566,0.0,top
R7,36.266,53.04,90.0,top
R8,42.362,53.04,90.0,top
R9,48.458,53.03,90.0,top
SW1,44.902,46.934,-90.0,top
SW2,29.662,46.924,-90.0,top
U1,42.123,31.186,180.0,top
U2,26.629,31.186,180.0,top
