Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,1,15nF,
D1,D_SOD-123,1,D_Zener,
"D10, D11, D12, D13, D2, D3, D4, D5, D6, D7, D8, D9",LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,12,LED_Small,
"HUB75-1, HUB75-2",PinHeader_2x08_P2.54mm_Vertical,2,Conn_02x08_Odd_Even,
"J1, J10, J11, J12, J2, J3, J4, J5, J6, J7, J8, J9",JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,12,Conn_01x03_Male,
"PWR1, PWR2","TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",2,Screw_Terminal_01x02,
Q1,SOT-23,1,AO3401A,
"Q10, Q11, Q12, Q13, Q14, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9",SOT-23,13,2N7002,
R1,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,1,10K,
"R10, R12, R14, R16, R18, R2, R20, R22, R24, R4, R6, R8",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,12,R,
"R11, R13, R15, R17, R19, R21, R23, R25, R3, R5, R7, R9",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,12,4.7K,
U1,SOT-89-3,1,CL2N8-G,
"U2, U3, U4, U5, U6, U7",DIP-8_W7.62mm,6,LTV-827,
