Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,1,15uF,
"D1, D11, D13, D15, D17, D19, D21, D23, D25, D3, D5, D7, D9",D_SOT-23_ANK,13,D_Zener,
"D10, D12, D14, D16, D18, D2, D20, D22, D24, D4, D6, D8",LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,12,LED_Small,
"HUB75-1, HUB75-2",IDC-Header_2x08_P2.54mm_Vertical,2,Conn_02x08_Odd_Even,
"J1, J10, J11, J12, J2, J3, J4, J5, J6, J7, J8, J9",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,12,Conn_01x02_Male,
J13,"TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",1,Screw_Terminal_01x02,
JP1,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,1,Jumper_2_Open,
"Q1, Q10, Q11, Q12, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9",SOT-23,12,BSS84,
Q13,SOT-23,1,AO3401A,
"Q14, Q15, Q16, Q17, Q18, Q19, Q20, Q21, Q22, Q23, Q24, Q25, Q26",SOT-23,13,2N7002,
"R1, R13, R14, R19, R2, R20, R25, R26, R31, R32, R7, R8",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,12,240R,
"R10, R12, R16, R18, R22, R24, R28, R30, R34, R36, R37, R4, R6",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,13,10K,
"R11, R15, R17, R21, R23, R27, R29, R3, R33, R35, R5, R9",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,12,200R,
"U1, U10, U13, U16, U4, U7",DIP-8_W7.62mm,6,LTV-827,
U2,SOT-89-3,1,CL2N8-G,
