Designator,Mid X,Mid Y,Rotation,Layer
C1,132.294,-74.422,180.0,top
D1,56.636,-93.65,180.0,bottom
D10,79.893,-96.51,-90.0,top
D11,81.179,-79.96,180.0,bottom
D12,79.893,-82.794,90.0,top
D13,93.456,-93.67,180.0,bottom
D14,92.202,-96.53,-90.0,top
D15,93.488,-79.98,180.0,bottom
D16,92.202,-82.814,90.0,top
D17,105.902,-93.67,180.0,bottom
D18,104.648,-96.53,-90.0,top
D19,105.934,-79.98,180.0,bottom
D2,55.382,-96.51,-90.0,top
D20,104.648,-82.814,90.0,top
D21,118.348,-93.66,180.0,bottom
D22,117.094,-96.52,-90.0,top
D23,118.38,-79.97,180.0,bottom
D24,117.094,-82.804,90.0,top
D25,127.508,-83.312,90.0,bottom
D3,56.668,-79.96,180.0,bottom
D4,55.382,-82.794,90.0,top
D5,68.955,-93.65,180.0,bottom
D6,67.701,-96.51,-90.0,top
D7,68.987,-79.96,180.0,bottom
D8,67.701,-82.794,90.0,top
D9,81.147,-93.65,180.0,bottom
HUB75-1,68.595,-55.885,90.0,top
HUB75-2,92.456,-55.88,90.0,top
J1,60.208,-97.653,90.0,top
J10,109.457,-84.098,90.0,top
J11,121.92,-97.663,90.0,top
J12,121.903,-84.088,90.0,top
J13,130.872,-91.158,90.0,top
J2,60.191,-84.078,90.0,top
J3,72.527,-97.653,90.0,top
J4,72.51,-84.078,90.0,top
J5,84.719,-97.653,90.0,top
J6,84.702,-84.078,90.0,top
J7,97.028,-97.673,90.0,top
J8,97.011,-84.098,90.0,top
J9,109.474,-97.673,90.0,top
Q1,56.5735,-97.206,180.0,bottom
Q10,105.917,-83.62,180.0,bottom
Q11,118.2855,-97.216,180.0,bottom
Q12,118.363,-83.61,180.0,bottom
Q13,130.81,-83.058,180.0,bottom
Q14,55.382,-91.684,-90.0,top
Q15,55.382,-87.366,90.0,top
Q16,67.701,-91.684,-90.0,top
Q17,67.701,-87.366,90.0,top
Q18,79.893,-91.684,-90.0,top
Q19,79.893,-87.366,90.0,top
Q2,56.651,-83.6,180.0,bottom
Q20,92.202,-91.704,-90.0,top
Q21,92.202,-87.386,90.0,top
Q22,104.648,-91.704,-90.0,top
Q23,104.648,-87.386,90.0,top
Q24,117.094,-91.694,-90.0,top
Q25,117.094,-87.376,90.0,top
Q26,111.76,-89.662,180.0,top
Q3,68.8925,-97.206,180.0,bottom
Q4,68.97,-83.6,180.0,bottom
Q5,81.0845,-97.206,180.0,bottom
Q6,81.162,-83.6,180.0,bottom
Q7,93.3935,-97.226,180.0,bottom
Q8,93.471,-83.62,180.0,bottom
Q9,105.8395,-97.226,180.0,bottom
R1,61.732,-61.712,-90.0,bottom
R10,75.321,-94.25,90.0,bottom
R11,72.527,-77.46,90.0,bottom
R12,75.304,-80.56,90.0,bottom
R13,86.243,-61.712,-90.0,bottom
R14,81.163,-61.712,-90.0,bottom
R15,84.719,-91.15,90.0,bottom
R16,87.513,-94.25,90.0,bottom
R17,84.719,-77.46,90.0,bottom
R18,87.496,-80.56,90.0,bottom
R19,98.552,-61.732,-90.0,bottom
R2,56.652,-61.712,-90.0,bottom
R20,93.472,-61.732,-90.0,bottom
R21,97.028,-91.17,90.0,bottom
R22,99.822,-94.27,90.0,bottom
R23,97.028,-77.48,90.0,bottom
R24,99.805,-80.58,90.0,bottom
R25,110.998,-61.732,-90.0,bottom
R26,105.918,-61.732,-90.0,bottom
R27,109.474,-91.17,90.0,bottom
R28,112.268,-94.27,90.0,bottom
R29,109.474,-77.48,90.0,bottom
R3,60.208,-91.15,90.0,bottom
R30,112.251,-80.58,90.0,bottom
R31,123.444,-61.722,-90.0,bottom
R32,118.364,-61.722,-90.0,bottom
R33,121.92,-91.16,90.0,bottom
R34,124.714,-94.26,90.0,bottom
R35,121.92,-77.47,90.0,bottom
R36,124.697,-80.57,90.0,bottom
R37,129.794,-79.248,180.0,bottom
R4,63.002,-94.25,90.0,bottom
R5,60.208,-77.46,90.0,bottom
R6,62.985,-80.56,90.0,bottom
R7,74.051,-61.712,-90.0,bottom
R8,68.971,-61.712,-90.0,bottom
R9,72.527,-91.15,90.0,bottom
U1,61.722,-65.776,-90.0,top
U10,98.542,-65.796,-90.0,top
U13,110.988,-65.796,-90.0,top
U16,123.434,-65.786,-90.0,top
U2,121.92,-89.662,0.0,top
U4,74.041,-65.776,-90.0,top
U7,86.233,-65.776,-90.0,top
